0.002270,0.002270,0.006479
0.001374,0.001374,0.005318
0.000982,0.000982,0.003047
0.001284,0.001284,0.003962
0.001021,0.001021,0.005482
0.001489,0.001489,0.004302
0.001414,0.001414,0.007669
0.000833,0.000833,0.004515
0.002323,0.002323,0.007630
0.001018,0.001018,0.004127
0.001651,0.001651,0.004348
0.001976,0.001976,0.005880
0.001601,0.001601,0.005167
0.001860,0.001860,0.005037
0.001109,0.001109,0.005146
0.001787,0.001787,0.007489
0.001395,0.001395,0.006113
0.002412,0.002412,0.006409
0.000972,0.000972,0.005840
0.001044,0.001044,0.005100
0.001745,0.001745,0.006466
0.002355,0.002355,0.006297
0.001828,0.001828,0.005793
0.002570,0.002570,0.006599
0.000948,0.000948,0.004056
0.001690,0.001690,0.005650
0.001794,0.001794,0.005042
0.001048,0.001048,0.006146
0.001835,0.001835,0.005839
0.001069,0.001069,0.004861
0.001518,0.001518,0.004762
0.000960,0.000960,0.006919
0.001361,0.001361,0.005908
0.001123,0.001123,0.005247
0.001584,0.001584,0.005953
0.000659,0.000659,0.003022
0.001925,0.001925,0.005796
0.001296,0.001296,0.005777
0.001090,0.001090,0.005812
0.001263,0.001263,0.004570
0.001860,0.001860,0.004761
0.001223,0.001223,0.004710
0.000726,0.000726,0.004308
0.001171,0.001171,0.005132
0.001846,0.001846,0.006308
0.000806,0.000806,0.006287
0.001537,0.001537,0.005078
0.001448,0.001448,0.008493
0.001291,0.001291,0.006243
